_id,id,air_quality_benfits_total_lbs,neighborhood
1,754166088,,Homewood North
2,1946899269,2.370444044,Oakwood
3,1431517397,0.513908222,South Side Flats
4,994063598,0.803805192,East Allegheny
5,1591838573,5.273239491,Highland Park
6,1333224197,3.242226443,Highland Park
7,239290336,0.142261654,Highland Park
8,1233652274,1.778330167,Highland Park
9,1477030894,2.547900219,Highland Park
10,1484901843,,Stanton Heights
11,998993932,3.57930274,Sheraden
12,1870646392,7.814257351,Chartiers City
13,829500067,3.088927099,Sheraden
14,2013381047,1.250949266,Sheraden
15,948605903,2.132252571,East Allegheny
16,1262389848,1.985628318,Elliott
17,1429809607,1.591693917,Sheraden
18,1785336569,2.328272855,Sheraden
19,1021918134,2.283701851,Sheraden
20,242235524,2.735788146,Sheraden
21,847593030,2.031239221,Sheraden
22,919773623,0.513908222,Sheraden
23,967460177,2.360950673,Sheraden
24,793855644,0.137482289,Sheraden
25,1713199926,1.442043878,Sheraden
26,1492169209,0.995722839,East Allegheny
27,1433265150,1.037401476,Sheraden
28,2020543587,0.480537568,Sheraden
29,995880187,1.906021445,Sheraden
30,1879824439,2.194797858,Sheraden
31,898122731,3.57930274,Sheraden
32,1582917146,1.316625151,Sheraden
33,744780007,0.356325564,Highland Park
34,299142312,2.728697849,Sheraden
35,199126754,2.269771983,Stanton Heights
36,1972738944,2.206422322,Stanton Heights
37,870758733,0.564321554,East Allegheny
38,531577617,4.901976383,Highland Park
39,513342409,3.05054259,Stanton Heights
40,886972729,3.523115083,Morningside
41,1140037658,0.317639436,Highland Park
42,2010367055,0.062539413,Highland Park
43,167864645,2.988705558,Highland Park
44,1504234128,0.054308253,Highland Park
45,217508661,0.089808254,Highland Park
46,1889166081,2.683115297,Highland Park
47,2116258951,0.239166724,Highland Park
48,272719655,0.060426155,East Allegheny
49,449871246,0.239166724,Bloomfield
50,769093988,0.304061227,Bloomfield
51,523208226,0.138032503,Bloomfield
52,1049586714,0.060426155,Bloomfield
53,314535447,1.28025328,Bloomfield
54,1982198912,3.57930274,Bloomfield
55,1773807370,0.062539413,Bloomfield
56,226149464,0.683577706,Bloomfield
57,1695133226,0.503116025,Bloomfield
58,192641805,0.428488913,Friendship
59,2019088635,0.239166724,East Allegheny
60,724822902,0.348272077,Garfield
61,442691282,2.06132286,Garfield
62,816662798,1.011431347,Garfield
63,1647122099,0.317639436,Garfield
64,730734087,0.317639436,Garfield
65,87930118,2.328272855,Garfield
66,399793402,0.304061227,Bloomfield
67,944825214,0.732840583,Bloomfield
68,995180943,0.452657984,Bloomfield
69,788432055,1.868601673,Polish Hill
70,1384554783,0.260732751,East Allegheny
71,70780726,2.031239221,Polish Hill
72,2002089108,0.19064686,Polish Hill
73,1751597324,0.024255859,Polish Hill
74,1029504502,0.732840583,Polish Hill
75,1653748281,0.904079222,Polish Hill
76,157553268,0.904079222,Polish Hill
77,1343136754,1.591693917,Polish Hill
78,273652162,1.964966417,Polish Hill
79,588528930,2.812098587,Polish Hill
80,344081998,0.060426155,Polish Hill
81,1186534394,2.384318092,East Allegheny
82,1388280435,0.880961104,Polish Hill
83,1049917507,1.405057667,Polish Hill
84,25493536,1.405057667,Polish Hill
85,2048914576,0.914428099,Lower Lawrenceville
86,922004381,0.239166724,Lower Lawrenceville
87,1654457122,0.763073102,Lower Lawrenceville
88,516913010,1.073488221,Lower Lawrenceville
89,1423727540,0.260694957,Friendship
90,1354196544,0.194329668,Friendship
91,600882422,2.728697849,Friendship
92,1117389306,0.168779216,East Allegheny
93,607105186,0.194329668,Friendship
94,1738963465,0.300161143,Friendship
95,1838862060,0.322654343,Friendship
96,709126181,1.218421418,Friendship
97,1689065658,1.031785168,Friendship
98,667105398,0.300161143,Friendship
99,699170281,2.728697849,Friendship
100,1927709995,0.239166724,Friendship
101,1970085570,2.728697849,Friendship
102,1864567818,1.405057667,Friendship
103,734654174,0.006555426,East Allegheny
104,2094165218,0.033300871,Friendship
105,1723641979,0.194329668,Friendship
106,1880038188,2.328272855,Friendship
107,294000876,0.239166724,Friendship
108,1826602734,0.514932401,Friendship
109,353579086,1.428806153,Friendship
110,1864813352,4.750008672,Friendship
111,953355487,0.747752351,Friendship
112,1625311177,1.086478263,Friendship
113,294405171,0.304061227,Friendship
114,1093160311,0.903803503,South Side Flats
115,665800988,0.02546064,Central Northside
116,1159901901,0.236918659,Friendship
117,869333280,0.903803503,Friendship
